Price,Distance,Bedroom2,Bathroom,Car,YearBuilt
1110000,6.4,3,2,2,2013
1717500,6.4,4,2,1,1925
2840000,6.4,5,4,4,1910
525500,6.4,2,1,1,1960
805000,6.4,2,2,3,2004
1830000,6.4,4,2,2,1970
2100000,6.4,4,2,2,2008
865000,6.4,3,1,1,2010
390000,6.4,2,1,1,1960
512000,6.4,2,1,1,1965
1900000,6.4,4,2,2,1930
1950000,6.4,4,2,3,1920
520000,13.8,3,2,1,2015
1525000,13.8,5,3,3,2005
720000,13.8,2,1,2,2013
1120000,13.8,3,1,2,1930
1780000,13.8,4,3,6,1962
630000,13.8,2,1,2,1955
660000,13.8,3,1,1,1955
580000,13.8,2,1,1,1988
1335000,13.8,3,1,4,1953
800000,13.8,3,2,2,1997
510000,13.8,2,1,1,1990
425000,13.8,2,1,2,1980
391000,13.8,2,1,1,1965
845000,13.8,4,1,2,1950
730000,13.8,3,2,1,2014
635000,13.8,3,1,4,1960
447000,13.8,2,1,1,1990
678000,13.8,3,1,2,1950
580000,13.8,2,2,1,2013
840000,13.8,3,2,2,1965
577000,13.8,3,2,1,2007
857000,13.8,2,2,1,1950
730000,13.8,3,2,1,2014
931000,13.8,4,2,3,1970
535600,13.8,2,1,1,1996
1085000,11.1,5,3,6,1965
781000,11.1,3,1,2,1970
421000,11.1,2,1,1,2009
683000,11.1,3,1,2,1967
720000,11.1,3,2,1,2012
588000,11.1,3,1,1,1970
710000,11.1,3,1,3,1960
875000,11.1,3,1,4,1965
640000,11.1,2,1,1,1965
675000,11.1,3,2,2,2012
708000,11.1,3,1,2,1960
693000,11.1,4,2,4,2008
620000,11.1,5,2,2,2010
728500,11.1,3,1,1,1960
931000,11.1,3,2,1,1950
988000,11.1,3,1,4,2008
815000,11.1,3,2,3,1960
1200000,11.1,4,1,4,1960
292000,11.1,2,1,1,1970
599000,6.3,2,1,1,1964
995000,6.3,3,2,2,1998
1205000,6.3,3,2,2,2000
1939000,6.3,3,2,2,1889
1870000,6.3,3,1,1,1888
1918000,6.3,3,2,2,1995
2050000,6.3,3,2,1,1910
3625000,6.3,3,2,2,2006
3000000,6.3,4,2,2,1934
735000,6.3,3,2,1,1970
645000,6.3,3,1,1,1960
1435000,6.3,2,2,1,1900
280000,6.3,1,1,1,1975
592500,6.3,2,1,1,1970
1210000,6.3,2,1,0,1910
2801000,6.3,4,2,2,1900
1800000,6.3,3,2,2,1910
2200000,6.3,4,1,2,1900
5525000,6.3,5,3,4,1935
440000,6.3,1,1,1,1970
490000,6.3,2,1,1,1966
1300000,6.3,2,1,2,1900
704000,6.3,2,1,1,1969
620000,6.3,3,1,1,1970
1900000,6.3,3,1,2,1900
710000,6.3,2,1,1,1970
872000,6.3,2,1,1,1953
598000,6.3,2,1,1,1970
1285000,6.3,3,1,2,1920
520000,6.3,1,1,1,1970
3625000,6.3,4,1,2,1900
4200000,6.3,4,3,3,2000
1101000,6.3,3,1,2,2000
3512500,6.3,3,2,2,1998
869000,6.3,2,1,1,1940
567000,6.3,1,1,1,2013
471500,6.3,2,1,1,1980
940000,5.9,3,1,2,1920
467000,5.9,2,1,1,1980
1380000,5.9,3,2,2,1910
490000,5.9,2,1,1,1970
1850000,5.9,4,3,1,1900
1284000,5.9,3,1,2,1938
971000,5.9,3,2,2,1900
710000,5.9,2,1,1,1890
2425000,5.9,6,3,2,1887
750000,5.9,2,1,1,1920
1053000,5.9,2,1,1,1900
1377000,5.9,3,1,1,1900
970000,5.9,3,1,2,1904
751000,5.9,2,1,1,1890
950000,5.9,2,1,1,1900
685000,5.9,2,1,2,1995
1230000,5.9,4,1,2,1960
770000,5.9,2,1,1,1900
960000,5.9,3,2,2,2011
890000,5.9,4,1,1,1890
1440000,5.9,3,1,1,1900
450000,5.9,2,1,1,2010
801000,5.9,3,1,2,1950
1000000,5.9,3,2,2,1955
1435000,5.9,3,2,2,1950
390000,5.9,1,1,1,1972
1425000,5.9,3,2,2,1920
1340000,5.9,3,2,2,1978
955000,5.9,3,1,1,1910
1100000,5.9,4,2,5,1920
432000,5.9,2,1,1,1978
1640000,5.9,4,3,2,1890
1430000,5.9,4,2,1,1900
610000,5.9,2,1,1,1995
940000,5.9,3,3,1,1950
890000,5.9,3,1,1,1920
1180000,5.9,3,2,2,1930
1480000,5.9,4,2,2,1939
865000,5.9,2,2,1,2015
705000,5.9,2,2,1,1998
442000,5.9,2,1,1,1975
1037500,5.9,3,1,2,1920
1050000,5.9,3,2,2,2013
440000,5.9,2,1,1,1970
1430000,5.9,4,2,0,1900
1130000,5.9,3,2,1,1900
1135000,5.9,3,1,1,1910
950000,5.9,4,2,1,1920
390000,5.9,2,1,1,2012
1345000,5.9,4,1,1,1920
1381500,5.9,3,2,2,1900
940000,5.9,3,2,2,2011
995000,5.9,3,2,1,2010
786000,5.9,3,2,1,1940
705000,5.9,2,1,3,1910
760000,5.9,2,1,1,1900
487500,5.9,3,1,3,1972
1000000,5.9,3,2,2,2003
1110000,5.9,4,2,1,1920
1305000,5.9,2,1,1,1900
1215000,5.9,3,1,1,1960
545000,5.9,2,1,2,1900
1705000,5.9,4,2,4,2012
2650000,11,4,3,2,2015
1670000,11,3,2,2,1930
2050000,11,3,3,4,2014
500000,11,2,1,1,2010
1555000,11,3,2,2,1935
1100000,11,3,3,2,2004
1337000,11,3,1,2,1950
2950000,11,9,7,4,2009
2215000,11,4,2,1,1940
1518000,11,3,2,2,1920
1710000,11,3,1,2,1950
1655000,11,3,1,3,1940
1550000,11,4,2,2,1938
1662000,11,3,2,2,2006
1665000,11,3,2,3,1945
3510000,11,5,5,2,2015
900000,11,3,2,2,1990
2752000,11,6,4,2,2010
1500000,11,3,2,2,1945
1800000,11,4,2,4,1950
1830000,11,3,2,3,1940
1415000,11,3,1,1,1950
1440000,11,2,1,1,1940
1250000,11,4,2,2,2007
1600000,11,5,3,4,1950
1860000,11,4,2,3,2000
1710000,11,3,2,2,1990
1790000,11,4,2,2,1935
1950000,11,4,2,2,1940
1650000,11,3,1,1,1947
995000,12.2,2,1,1,1950
1200000,12.2,4,3,2,2016
1075000,12.2,2,1,2,1950
1500000,12.2,2,2,2,2000
700000,12.2,2,1,2,1970
761000,12.2,3,2,4,1950
1365000,12.2,3,1,1,1950
1100000,12.2,3,2,2,1970
690000,12.2,2,1,1,2003
1631000,12.2,3,2,3,1950
1500000,12.2,4,2,1,1930
1529500,12.2,5,3,2,2000
600000,12.2,2,1,1,1970
785000,12.2,3,1,1,1960
1240000,12.2,4,2,2,1950
700000,12.2,2,1,2,2007
1110000,12.2,2,1,1,1950
1305000,12.2,3,1,1,1960
855000,12.2,3,2,1,1958
900500,12.2,3,2,2,2012
1200000,12.2,3,2,2,1970
830000,12.2,2,1,2,2012
850000,10.5,3,1,1,1970
750000,10.5,3,1,1,1980
851000,10.5,3,3,1,2017
806000,10.5,4,2,1,2008
1155000,10.5,3,2,2,2008
680000,10.5,3,1,2,1970
627500,10.5,3,1,1,1970
950000,10.5,4,3,3,1970
585000,10.5,2,1,1,2012
440000,10.5,2,1,1,1999
705000,10.5,3,1,1,1960
1100000,10.5,4,3,2,1992
892500,10.5,3,1,1,1965
522500,10.5,2,1,1,1995
680000,10.5,4,2,2,1960
500000,10.5,3,1,1,1990
550000,10.5,2,1,2,1993
875000,10.5,3,1,3,1960
762000,10.5,4,2,2,1961
411000,10.5,2,1,1,1995
805000,10.5,3,2,2,1970
890000,10.5,4,2,4,1960
634000,10.5,4,2,1,1950
642000,10.5,3,1,1,1960
1819000,6.6,3,2,1,1900
410000,6.6,2,1,2,1965
1015000,6.6,2,1,2,2000
502500,6.6,2,1,1,1960
520000,6.6,2,1,0,1970
442000,6.6,2,1,1,1960
1193000,6.6,3,1,1,1920
416000,6.6,2,1,1,1960
474000,6.6,2,1,1,1970
981000,6.6,2,1,0,1930
1690000,6.6,3,2,2,1890
540000,6.6,2,1,1,1970
1080000,6.6,3,1,1,1928
2100000,9.7,2,1,1,1920
1800000,9.7,4,2,2,1985
1255000,9.7,2,1,1,2000
1070000,9.7,3,2,2,1998
2570000,9.7,5,3,2,2009
2400000,9.7,4,2,2,1985
806000,9.7,2,1,1,1977
4000000,9.7,6,4,7,1935
2250000,9.7,5,3,2,2006
1140000,9.7,3,2,2,1976
2800000,9.7,5,3,2,2001
1850000,9.7,3,1,1,1930
805000,9.7,3,1,1,1975
700000,9.7,3,1,1,1970
500000,9.7,2,1,1,1960
2125000,9.7,3,2,2,1985
1800000,9.7,3,2,2,1948
635000,9.7,2,1,1,2014
526000,9.7,2,1,1,1960
905000,9.7,3,1,2,1995
1750000,9.7,4,3,2,2016
760000,9.7,2,1,1,1960
1367000,9.7,3,2,2,2003
2550000,9.7,5,3,2,1930
1400000,9.7,4,3,2,2009
3270000,9.7,4,2,4,1927
625000,9.7,2,1,1,1960
2730000,9.7,4,3,2,1997
460000,9.7,2,1,1,1950
1053000,9.7,2,1,2,1985
1800000,9.7,3,2,2,1980
1472000,9.7,3,2,2,1995
754000,9.7,2,1,1,1990
2188000,9.7,4,2,2,1981
755000,9.7,2,1,1,1980
3290000,9.7,4,3,2,1910
2410000,9.7,4,2,1,1940
650000,9.7,2,1,1,1960
2000000,9.7,3,1,2,1930
1900000,9.7,4,2,1,1940
3401000,9.7,3,2,1,1930
1750000,9.7,3,2,3,1943
1100000,9.7,3,2,1,1940
3020000,9.7,5,3,2,2009
2450000,9.7,4,2,2,1960
730000,9.7,2,1,1,1960
1500000,9.7,3,2,2,2011
1850000,9.7,3,1,1,1950
1700000,9.7,3,1,1,1935
1315000,9.2,3,2,2,2000
1500000,9.2,3,2,1,1950
3230000,9.2,4,4,3,1960
1905000,9.2,4,2,2,1955
3300000,9.2,5,4,2,2015
1900000,9.2,4,2,2,1955
2251000,9.2,3,1,2,1950
2205000,9.2,4,2,2,1950
1265000,9.2,3,2,1,2011
1750000,9.2,4,2,2,1960
1450000,9.2,3,1,2,1950
2614000,9.2,4,2,2,1955
1825000,9.2,4,2,3,1958
3250000,9.2,3,4,2,2013
1150000,9.2,3,2,1,2003
1575000,9.2,3,2,2,1953
1572000,9.2,4,2,2,1965
1750000,9.2,5,3,2,2013
1850000,9.2,4,2,2,1990
2130000,9.2,4,3,2,1970
3690000,9.2,4,4,2,1967
1740000,9.2,4,2,2,1993
2575000,9.2,4,3,2,2006
1388800,9.2,3,2,1,1970
1702000,9.2,4,2,2,1939
1800000,9.2,4,2,4,1960
2910000,9.2,4,3,2,1992
1500000,9.2,3,1,1,1950
2200000,9.2,5,3,2,1955
1700000,9.2,3,2,3,1960
1750000,9.2,2,1,2,1948
1230000,9.2,3,3,1,2012
2600000,9.2,5,3,3,2008
1950000,9.2,3,3,2,1970
1750000,9.2,5,2,2,1955
2000000,9.2,5,2,2,1950
1480000,9.2,3,1,4,1950
1818000,9.2,3,1,1,1930
2525000,9.2,4,2,2,1960
3360000,9.2,4,3,1,2003
1620000,9.2,4,2,1,1960
1903000,9.2,3,1,2,1950
1720000,9.2,4,3,2,1950
1675000,9.2,4,2,2,1974
1680000,9.2,4,3,1,2014
4000000,9.2,5,5,4,2013
2205000,9.2,4,2,2,1950
2100000,9.2,3,2,3,1940
685000,9.2,2,1,1,1975
1335000,9.2,3,2,2,2009
1900000,9.2,4,2,4,1960
735000,9.2,2,1,1,1970
1040000,9.2,2,1,1,1995
1250000,9.2,4,2,2,1950
1900000,9.2,6,3,2,1974
1875000,9.2,5,3,2,1961
1530000,9.2,4,2,2,1960
1700000,9.2,3,2,5,1960
1238000,9.2,3,2,2,2010
1320000,9.2,3,1,0,1960
560000,9.2,2,1,1,1950
1651000,9.2,3,1,2,1960
1920000,9.2,5,3,2,1955
1560000,9.2,5,2,3,1980
1038000,9.2,3,2,1,2003
1660000,9.2,4,3,2,1950
1260000,9.2,3,2,2,1997
2150000,9.2,4,2,2,1960
1770000,9.2,3,2,1,1955
691500,9.2,3,1,1,1968
1836000,9.2,4,2,2,1957
636000,13,2,1,2,1974
875000,13,3,1,2,1950
895000,13,3,2,2,1997
1425000,13,3,2,2,1960
851000,13,2,1,1,1970
1222500,13,3,2,2,2000
900000,13,3,2,1,1925
1005000,13,7,3,4,1950
1317500,13,3,1,1,1945
360000,13,2,1,1,1965
1435000,13,3,3,2,2012
1110000,13,3,1,2,1940
2435000,13,3,2,2,1928
1500000,13,3,2,1,1940
1300000,13,4,2,2,1940
1125000,13,3,1,2,1948
1328000,13,3,2,2,1940
1340000,13,3,2,1,1910
1155000,13,4,3,2,2010
1275000,13,3,1,4,1960
770000,13,3,2,2,1987
855000,13,2,1,1,1940
650000,13,2,1,1,1960
1815000,13,4,2,4,1950
2255000,13,4,3,2,2008
1470000,13,3,2,2,1950
855000,13,2,2,3,2005
1860000,13,4,2,3,1930
725000,13,2,1,1,1990
1293000,13,3,1,1,1950
1390000,13,3,1,2,1925
1328000,13,3,2,2,1970
1247000,13,4,2,3,2008
1370000,13,3,1,2,1950
1385000,13,4,2,1,1920
1095000,13,3,2,1,1965
725000,13,2,1,1,2012
825000,13,3,2,2,2007
1235000,13,3,2,2,2012
1600000,13,5,3,2,1986
1165000,13,3,1,2,1950
1910000,13,4,2,4,1950
820000,13,2,1,3,1960
1430000,13,4,2,2,1970
910000,13,2,1,2,1970
2520000,13,4,4,2,2012
1900000,13,5,2,2,1926
1650000,13,3,2,2,1930
670000,13,2,2,1,2007
680000,13,2,1,1,1998
1320000,13,4,3,3,2010
1900000,13,6,3,2,1988
1535000,13,2,2,2,1930
1281000,13,3,1,5,1940
1385000,13,5,2,2,1950
517500,13,3,1,1,1970
503000,13,2,1,1,1960
2620000,13,4,4,2,2012
405000,13,2,1,1,1968
825000,13.9,2,2,1,2008
746000,13.9,2,1,2,2002
1275000,13.9,5,2,2,1960
1025000,13.9,3,2,2,1999
495000,13.9,2,1,1,1980
1220000,13.9,3,2,2,1950
885000,13.9,3,1,2,1950
830000,13.9,0,2,2,2012
1100000,13.9,4,2,2,1975
1040000,13.9,3,2,2,1970
1210000,13.9,3,3,2,2014
1160000,13.9,3,2,2,2006
1215000,13.9,3,2,3,1970
1200000,13.9,4,2,2,1960
1050000,13.9,3,2,2,1950
950000,13.9,5,2,4,1950
380000,13.9,3,2,1,1970
1338000,13.9,3,2,2,1970
651000,13.9,2,1,1,1960
920000,13.9,3,1,3,1955
1390000,13.9,4,2,2,1960
370000,13.9,1,1,1,1970
1100000,13.9,3,1,2,1955
1206000,13.9,4,1,1,1940
486500,13.9,2,1,1,1960
1415000,13.9,4,2,2,1970
1185000,13.9,4,2,2,2012
1060000,13.9,4,3,1,1960
845000,13.9,3,2,2,1998
860000,13.9,3,2,1,1995
921000,13.9,3,2,2,2009
742500,13.9,2,1,1,1960
920000,13.9,3,2,2,1950
702000,13.9,2,1,1,1960
805000,13.9,3,2,1,2000
1100000,13.9,4,2,1,2004
1050000,13.9,3,1,4,1950
722000,13.9,2,2,1,2005
930000,13.9,3,1,2,1960
921000,13.9,3,2,1,2000
1035000,13.9,3,1,2,1950
720000,13.9,3,2,1,1996
1352000,13.9,4,2,2,1950
1005000,13.9,4,2,2,2006
1600000,13.9,4,2,2,1930
1200000,13.9,3,1,1,1970
780000,13.9,3,2,2,1950
1250000,13.9,4,2,2,2010
1110000,13.9,4,2,2,1960
1690000,13.9,4,2,2,1950
791000,13.9,3,3,1,1950
900000,13.9,3,1,3,1940
1189000,13.9,4,2,2,2010
970000,13.9,3,2,2,2000
823000,13.9,3,2,2,2003
950000,13.9,4,2,1,1940
1045000,13.9,4,2,1,2010
800000,13.9,3,2,2,1994
655000,13.9,2,1,1,2000
1550000,13.9,5,3,2,1950
835000,13.9,3,1,1,1980
1465000,13.9,3,2,2,2015
910000,13.9,3,1,1,1950
920000,13.9,3,2,1,2007
935000,13.9,3,2,2,2012
977000,13.9,3,1,2,1970
1352000,13.9,3,1,2,1950
1115000,13.9,4,2,2,1960
780000,13.9,3,1,1,1966
1197000,13.9,3,1,2,1949
485000,13.9,2,2,2,2011
810000,13.9,3,2,1,1950
1365000,13.9,4,1,1,1960
1698888,13.9,4,2,2,2006
340000,13.9,2,1,1,2012
965000,13.9,3,2,1,2010
870000,13.9,3,2,2,2011
1161000,13.9,3,2,3,1950
1266000,13.9,3,1,3,1970
700000,13.9,3,2,2,2008
1325000,13.9,4,4,2,2012
770000,13.9,3,2,1,2005
380000,13.9,1,1,1,1970
1175000,13.9,4,2,2,1980
1200000,13.9,3,1,1,1960
1370000,13.9,4,1,2,1970
1433500,13.9,4,1,1,1950
860000,13.9,3,2,1,2005
715000,13.9,2,1,1,1995
710000,13.9,2,1,1,1950
1550000,13.9,5,3,2,2007
790000,13.9,3,1,2,1996
1020000,13.9,3,1,2,1960
886000,13.9,3,2,1,2012
1015000,13.9,4,2,3,1997
830000,13.9,3,2,2,2001
1255000,13.9,4,2,2,1950
1320000,13.9,3,1,1,1950
870000,13.9,3,2,1,1950
1472500,13.9,4,2,2,2013
640000,13.9,2,2,2,2005
1620000,13.1,4,2,2,1940
645000,13.1,2,1,1,1965
880000,13.1,4,2,2,2003
1560000,13.1,3,2,3,1905
1715000,13.1,3,2,2,1950
1200000,13.1,3,1,2,1950
1760000,13.1,3,1,0,1910
288000,13.1,1,1,1,1970
948000,13.1,3,1,2,1950
2770000,13.1,4,1,2,1950
465000,13.1,2,2,1,2010
975000,13.1,4,2,2,2008
1325000,13.1,3,1,1,1950
750000,13.1,3,2,1,2000
1400000,13.1,3,2,1,1940
1500000,13.1,3,1,2,1930
1600000,13.1,4,2,1,1890
1461400,13.1,3,2,2,1927
775000,13.1,3,1,1,1980
1670000,13.1,4,4,4,1926
4000000,13.1,3,1,2,1945
928000,13.1,3,1,1,1890
761000,13.1,2,2,1,2000
636000,13.1,2,1,1,1970
1625000,13.1,4,2,2,1912
836000,13.1,3,1,2,2005
1170000,13.1,3,1,1,1920
1670000,13.1,4,2,2,1924
857000,13.1,4,1,1,1930
822500,13.1,3,2,1,2000
560000,13.1,2,1,1,1970
420000,13.1,2,1,1,1970
645000,10.8,2,1,1,1950
502000,10.8,3,1,1,2011
495000,10.8,3,2,1,2006
868000,10.8,2,1,4,1950
645000,10.8,4,2,1,1990
652000,10.8,3,2,1,2010
850000,10.8,4,2,2,2002
570500,10.8,3,1,1,1960
575000,10.8,3,1,3,1955
882000,10.8,4,2,2,2008
730000,10.8,3,2,2,1970
826000,10.8,2,1,2,1950
610000,10.8,4,2,1,1990
696000,10.8,3,1,0,1960
660000,10.8,2,1,1,1960
579000,10.8,3,2,1,2013
856500,10.8,4,2,2,2008
765000,10.8,3,1,1,1960
475000,10.8,2,1,1,1980
550000,10.8,4,2,1,2000
495000,10.8,3,1,1,2005
565000,10.8,3,2,1,1970
1550000,11.2,3,2,2,1940
1635000,11.2,3,1,2,1920
3695000,11.2,4,3,2,1960
536000,11.2,2,1,2,1970
3700000,11.2,4,3,2,1900
1975000,11.2,3,1,2,1930
1300000,11.2,2,2,1,2000
1390000,11.2,3,1,2,1975
2905000,11.2,4,3,1,1905
1300000,11.2,2,2,2,1940
1725000,11.2,3,2,2,1997
2100000,11.2,3,2,2,1970
800000,11.2,2,1,1,1960
1761000,11.2,4,2,3,1920
1302500,11.2,3,2,2,1993
2750000,11.2,4,3,1,2005
892500,11.2,2,1,2,1970
2145000,11.2,3,2,1,1910
3171000,11.2,4,2,2,2000
620000,11.2,2,2,1,2013
1475000,11.2,3,2,2,2000
700000,11.2,2,1,1,1952
2400000,11.2,3,2,2,1910
590000,11.2,2,1,1,1950
1650000,11.2,3,2,2,1980
1562500,11.2,5,2,2,1925
2050000,11.2,3,3,2,2012
3320000,11.2,4,3,2,2000
1100000,11.2,2,1,2,1935
1650000,11.2,3,2,1,1910
1570000,11.2,2,1,0,1920
1411000,11.2,3,2,2,2011
1785000,11.2,3,2,1,1953
1875000,11.2,3,2,2,1991
1266000,11.2,3,1,2,1950
2730000,11.2,5,3,2,1938
900000,11.2,2,2,1,1970
1962000,11.2,3,2,2,1995
3295888,11.2,4,3,2,1990
375000,11.2,1,1,1,1965
756000,11.2,2,1,1,1920
2100000,11.2,5,5,2,1920
2375000,11.2,4,2,2,2000
1385000,11.2,3,1,2,1935
1601000,11.2,2,1,1,1958
858000,11.2,2,1,1,1950
2800000,11.2,4,2,4,1910
3700000,11.2,4,3,4,1890
1410000,11.2,3,1,1,1930
2475000,11.2,4,2,2,1920
2700000,11.2,4,2,2,1925
3900000,11.2,4,2,2,1990
610000,11.2,2,1,1,2005
880000,11.2,3,1,1,1965
737000,11.2,3,1,1,1975
1532000,11.2,2,1,2,1910
1037000,11.2,2,1,2,2009
3050000,11.2,4,4,2,1995
1630000,11.2,4,2,2,2000
2640000,11.2,4,2,2,1975
671000,11.2,1,1,1,1980
2250000,11.2,4,2,2,2012
2900000,11.2,3,1,1,1942
2405000,11.2,4,1,2,1970
1352500,11.2,2,2,1,1993
3105000,11.2,4,2,2,1930
1171000,11.2,3,2,2,1970
1600000,11.2,3,2,2,2000
1500000,11.2,3,2,1,1990
1940000,10.7,4,2,2,1960
1850000,10.7,4,2,2,1940
930000,10.7,3,1,1,1930
1310000,10.7,4,3,2,2008
2504000,10.7,4,2,2,1950
750000,10.7,2,1,3,1970
1445000,10.7,2,1,1,1940
1825000,10.7,4,3,2,1973
1700000,10.7,4,2,1,1935
1400000,10.7,4,3,4,1930
1075000,10.7,3,2,2,1990
1860000,10.7,3,2,2,1948
1500000,10.7,3,2,2,2000
1400000,10.7,3,1,3,1950
1600000,10.7,5,2,2,1945
1780000,10.7,4,3,2,1935
1200000,10.7,5,2,5,1920
775000,10.7,2,1,1,1960
1480000,10.7,3,2,2,1925
2900000,10.7,5,4,2,1950
1590000,10.7,3,3,2,2012
2840000,10.7,5,2,2,1972
1000000,10.7,2,1,2,1948
2500000,10.7,5,3,2,2005
1700000,10.7,4,3,4,1950
1290000,10.7,3,1,2,1920
3207000,10.7,5,5,3,1969
880000,10.7,3,2,2,1990
1920000,10.7,4,1,1,1960
1301000,10.7,3,2,2,1926
2550000,10.7,5,3,2,1960
1915000,10.7,5,2,0,1970
1650000,10.7,5,3,2,1948
1530000,10.7,2,2,1,1920
2050000,10.7,4,2,4,1940
2550000,10.7,5,3,2,2016
905000,10.7,2,1,2,1980
1355000,10.7,3,1,2,1930
1845000,10.7,2,1,2,1950
2050000,10.7,5,3,3,1970
940000,10.7,3,2,3,2004
1710000,10.7,4,3,2,1915
1300000,10.7,3,2,2,2000
2200000,10.7,4,2,2,2000
2150000,10.7,4,3,2,1970
1650000,10.7,4,2,4,1997
681000,10.7,2,1,1,2012
1310000,10.7,4,3,2,2018
340000,10.7,1,1,1,1950
1537000,10.7,3,2,2,1999
692000,10.7,2,1,1,1960
1367000,10.7,4,2,2,2000
903000,10.7,2,1,1,1970
2820000,10.7,4,4,4,1960
1813000,10.7,2,1,2,1930
1655000,10.7,5,2,2,1950
1230000,10.7,3,2,2,1980
1389000,10.7,4,1,2,1930
750000,10.7,2,1,1,1980
1245000,10.7,3,2,1,1998
2310000,10.7,4,2,2,1930
563000,10.7,2,1,1,1960
1014000,10.7,2,1,1,1990
428000,5.2,2,1,2,1970
1026000,5.2,2,1,0,1905
1802500,5.2,4,3,1,1910
1500000,5.2,4,3,1,1890
2230000,5.2,4,2,3,1940
410000,5.2,2,1,1,2000
272500,5.2,1,1,1,1970
680000,5.2,3,3,1,2016
400000,5.2,2,1,1,1970
950000,5.2,3,1,0,1910
1310000,5.2,3,2,2,1880
845500,5.2,2,1,1,1890
860000,5.2,2,1,1,1910
605000,5.2,2,1,1,2009
1055000,5.2,3,1,1,1930
445000,5.2,2,1,1,1975
659500,5.2,2,1,1,1970
600000,5.2,2,1,1,2011
1115000,5.2,4,1,0,1900
1125000,5.2,3,1,1,1910
855000,5.2,3,1,1,1930
940000,5.2,3,2,1,2016
1100000,5.2,2,1,0,1900
750000,5.2,2,2,1,2013
1056000,5.2,2,1,1,1910
880000,5.2,3,2,1,2000
1222500,5.2,3,1,0,1890
1260000,5.2,2,1,1,1925
955000,5.2,3,2,2,2007
587000,5.2,2,1,1,1970
1060000,5.2,3,1,0,1935
890000,5.2,2,1,1,1900
685000,5.2,2,2,1,2002
600000,5.2,2,1,1,1970
976000,5.2,3,2,1,2005
641000,5.2,3,2,1,1900
770000,5.2,2,1,0,1910
279500,5.2,1,1,1,1970
1800000,5.2,4,2,3,1900
1350000,5.2,4,1,1,1940
1320000,5.2,4,2,1,1920
825000,5.2,3,1,1,1900
860000,5.2,3,1,2,1900
1261000,5.2,2,1,1,1910
1045000,5.2,3,1,2,1890
1044000,5.2,3,1,1,2000
1050000,5.2,3,1,1,1910
1691500,5.2,3,2,3,1920
1075000,5.2,2,1,0,1930
620000,5.2,2,1,1,1975
501000,5.2,2,1,1,2010
1260000,5.2,3,1,6,1960
1650000,5.2,3,1,2,1920
601000,5.2,2,1,1,1970
1015000,5.2,2,1,0,1920
625000,5.2,1,1,1,1930
1700000,5.2,3,2,1,1945
435000,5.2,2,1,1,1973
2500000,5.2,5,2,2,1890
860000,5.2,2,1,1,1910
491000,5.2,2,1,1,1960
871000,5.2,2,1,1,1880
985000,5.2,3,1,2,1940
